authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham","M. Clapham",43373,"A. S.",Dagys,,,,1968,"Yurskie i Rannemelovye brakhiopody Severa Sibiri","Trudy Akademiya Nauk SSSR, Sibirskoe Otdelenie",,,,1,167,"serial monograph","stated with evidence",Russian,,,,,"2012-10-28 08:06:50","2013-04-07 06:26:56"
"M. Clapham","M. Clapham",,44756,A.,Dagys,,,,1997,"A new late Olenekian (Triassic) ammonoid of low palaeolatitude affinity from Arctic Asia (Eastern Taimyr)","Palaeontologische Zeitschrift",,71,,217,220,"journal article","stated with evidence",English,,,,,"2013-02-09 16:18:03","2013-02-09 16:18:03"
"M. Clapham","M. Clapham","M. Clapham",43132,"A. S.",Dagys,"N. I.",Kurushin,,1985,"Triasovye brakhiopody i dvustvorchatye mollyuski severa sredney Sibiri","Akademiya Nauk SSSR, Sibirskoe Otdelenie, Trudy",,633,,1,160,"serial monograph","stated with evidence",Russian,,,,,"2012-09-26 13:27:45","2013-04-07 06:27:10"
"P. Wagner","P. Wagner",,34717,G.,Dahmer,,,,1936,"Die Fauna der obersten Siegener Schichten an der Unkelmlihle bei Eitorf","Abhandlungen der Preußischen Geologischen Landesanstalt",,168,,,,"serial monograph","stated without evidence",English,,,,,"2011-01-11 04:22:42","2011-01-11 04:22:42"
"J. Alroy","M. Sommers","A. Clement",44,"D. H.",Dailey,"W. P.",Popenoe,,1966,"Mollusca from the upper Cretaceous Jalama Formation, Santa Barbara County, California","University of California Publications in Geological Sciences",,65,,1,41,"journal article","stated without evidence",English,,,,,"1999-05-13 10:15:27","2013-02-12 08:27:50"
"M. Uhen","M. Uhen","M. Uhen",12220,G.,"Dal Piaz",,,,1901,"Alcuni resti di Squalodon dell'Arenaria Miocenica di Belluno","Palaeontographia Italica",,6,,303,314,"journal article","stated without evidence",Italian,,,,,"2004-12-12 14:04:05","2006-12-14 08:26:40"
"M. Uhen","M. Uhen",,17090,G.,"Dal Piaz",,,,1908,"Sui vertebratei delle arenarie mioceniche di Belluno","Atti Della Accademia Scientifica Vento-Trentino-istriana",,5,,106,120,"journal article","stated without evidence",Italian,,,,,"2006-04-07 09:18:03","2006-04-08 02:18:08"
"M. Uhen","M. Uhen","M. Uhen",12586,G,"Dal Piaz",,,,1916,Cyrtodelphis,"Memorie dell' Istituto Geologico della R.di Padova",,5,5,1,18,"journal article","stated without evidence",,,"Gli Odontoceti del Miocene Bellunese",,,"2005-02-16 08:01:33","2005-02-17 08:37:33"
"M. Uhen","M. Uhen","M. Uhen",12609,G.,"Dal Piaz",,,,1916,"Acrodelphis ombonii","Memorie dell' Istituto Geologico della R.di Padova",,5,6,24,37,"journal article","stated without evidence",,,"Gli Odontoceti del Miocene Bellunese",,,"2005-02-16 13:39:39","2005-02-17 08:39:39"
"M. Uhen","M. Uhen","M. Uhen",12610,G.,"Dal Piaz",,,,1916,"Protodelphinus capellini","Memorie dell' Istituto Geologico della R.di Padova",,5,7,42,50,"journal article","stated without evidence",,,"Gli Odontoceti del Miocene Bellunese",,,"2005-02-16 13:43:51","2005-02-17 08:43:59"
"M. Uhen","M. Uhen","M. Uhen",12613,G.,"Dal Piaz",,,,1916,"Scaldicetus bolzanensis","Memorie dell' Istituto Geologico della R.di Padova",,5,9,86,92,"journal article","stated without evidence",,,"Gli Odontoceti del Miocene Bellunese",,,"2005-02-16 14:00:11","2005-02-17 09:00:16"
"M. Uhen","M. Uhen","M. Uhen",12765,G.,"Dal Piaz",,,,1916,"Eoplatanista itallica","Museo Geologico della R. Università di Pisa",,5,2,1,23,"journal article","stated without evidence",,,"Gli Odontoceti del Miocene Bellunese",,,"2005-02-28 08:39:29","2005-03-01 03:39:40"
"M. Uhen","M. Uhen","M. Uhen",12766,G.,"Dal Piaz",,,,1916,"Ziphiodelphis abeli","Museo Geologico della R. Università di Pisa",,5,,54,74,"journal article","stated without evidence",,,,,,"2005-02-28 08:51:41","2005-03-01 03:51:45"
"M. Uhen","M. Uhen","M. Uhen",12902,G.,"Dal Piaz",,,,1916,"Gli Odontoceti del Miocene Bellunese, Parte Prima: Rassegna storica e studio stratigrafico","Memoirie dell'Instituto geologico della R. Università di Padova",,5,,1,25,"journal article","stated without evidence",Italian,,,,,"2005-03-15 08:34:19","2005-03-16 03:34:35"
"M. Uhen","M. Uhen","M. Uhen",12440,G.,"Dal Piaz",,,,1917,"Gli Odontoceti del Miocene bellunese, Parte Terza. Squalodelphis fabiannii","Memorie dell' Instituto Geologico della R. Universita di Padova",,5,1,1,34,"journal article","stated without evidence",Italian,,,,,"2005-01-21 05:14:19","2006-03-04 01:06:06"
"M. Uhen","M. Uhen","M. Uhen",29034,G.,"Dal Piaz",,,,1971,"Guida dell'Instituto e del museo di Gologia e Paleontologia","Universita Degli Studi di Padova",,,,1,146,"serial monograph","stated without evidence",English,,"published posthumously",,,"2009-01-23 13:48:45","2009-01-27 04:45:11"
"J. Alroy","J. Alroy","M. Carrano",1330,E.,Daly,,,,1992,"A list, bibliography and index of the fossil vertebrates of Mississippi","Mississippi Department of Environmental Quality, Office of Geology Bulletin",,128,,1,47,"serial monograph","stated without evidence",English,,,,,"2001-03-02 15:01:30","2006-09-14 07:28:24"
"W. Kiessling","W. Kiessling",,3975,"S. E.",Damborenea,,,,1987,"Early Jurassic Bivalvia of Argentina: Part 1, Stratigraphical introduction and superfamilies Nuculanacea, Arcacea, Mytilacea and Pinnacea",Palaeontographica,,A199,1-3,23,111,"journal article","stated without evidence",English,,,,,"2002-03-04 16:40:35","2002-03-05 11:40:35"
"J. Alroy","J. Alroy","J. Alroy",298,"S. E.",Damborenea,,,,1990,"Middle Jurassic inoceramids from Argentina","Journal of Paleontology",,64,5,736,759,"journal article","stated without evidence",English,,,,,"1999-08-28 15:38:50","2009-11-23 09:24:02"
"M. Aberhan","S. Nurnberg","S. Nurnberg",9861,"S. E.",Damborenea,,,,2002,"Early Jurassic bivalves of Argentina: Part 3, Superfamilies Monotoidea, Pectinoidea, Plicatuloidea and Dimyoidea","Palaeontographica Abteilung A",,265,1-4,1,119,"serial monograph","stated without evidence",English,,,,,"2004-02-17 03:31:39","2004-02-17 22:31:39"
"M. Aberhan","S. Nurnberg","S. Nurnberg",10581,"S. E.",Damborenea,"C. M.",González-León,,1997,"Late Triassic and Early Jurassic bivalves from Sonora, Mexico","Revista Mexicana de Ciencias Geológicas",,14,2,178,201,"journal article","stated without evidence",,,,,,"2004-05-23 06:28:04","2004-05-24 01:55:00"
"M. Aberhan","S. Nurnberg","S. Nurnberg",10524,"S. E.",Damborenea,"M. O.",Mancenido,,1992,"A comparison of Jurassic marine benthonic faunas from South America and New Zealand","Journal of the Royal Society of New Zealand",,22,2,131,152,"journal article","stated without evidence",,,,,,"2004-05-17 08:22:20","2004-05-18 01:22:20"
"M. Clapham","M. Clapham",,42739,"S. E.",Damborenea,"M. O.",Manceñido,,2012,"Late Triassic bivalves and brachiopods from southern Mendoza, Argentina","Revue de Paléobiologie, Genève, vol. spéc",,11,,317,344,"journal article","stated with evidence",English,,,,,"2012-08-25 08:08:42","2012-08-25 08:08:42"
"M. Uhen","M. Uhen","M. Uhen",11950,W.,Dames,,,,1894,"Über Zeuglodonten aus Aegypten und die Beziehungen der Archaeoceten zu den Übrigen Cetaceen","Palaeontologische Abhandlungen",,1,5,189,221,"journal article","stated without evidence",German,,"New Series",,,"2004-11-02 10:42:16","2004-11-03 05:42:16"
"M. Carrano","M. Carrano",,38668,"R. F.",Damon,,,,1884,,"Handbook to the Geology of Weymouth, Portland, and Coast of Dorsetshire, from Swanage to Bridport-on-the-Sea, with Natural History of and Archaeological Notes. New and Enlarged Edition. Edward Stanford, London",,,,1,250,"book/book chapter","stated without evidence",English,,,,,"2011-11-29 08:22:16","2011-11-29 08:22:16"
"G. Webster","G. Webster","M. Clapham",20608,"J. D.",Dana,,,,1847,"Descriptions of fossil shells of the collections of the exploring expedition under the command of Charles Wilkes, USN, obtained in Australia, from the lower layers of the coal formation in Illawarra, and from a deposit probably of nearly the same age at Harper's Hill, Valley of the Hunter","American Journal of Science and Arts, Second Series",,4,,151,160,"journal article","stated without evidence",English,,,,,"2007-02-26 19:03:33","2012-09-08 15:36:45"
"M. Clapham","M. Clapham",,27730,"J. D.",Dana,,,,1849,"Appendix I. Descriptions of Fossils. 1. Fossils of New South Wales","United States Exploring Expedition During the Years 1838, 1839, 1840, 1842, 1842 Under the Command of Charles Wilkes, U.S.N. Atlas: Geology",,,,681,720,"book/book chapter","stated without evidence",English,,,,,"2008-07-25 14:30:10","2008-07-26 07:30:10"
"A. Hendy","A. Hendy",,29734,"C. H.",Dane,"E. G.",Kauffman,"W. A. Cobban",1968,"Semilla Sandstone, a new member of the Mancos Shale in the southeastern part of the San Juan Basin, New Mexico","United States Geological Survey Professional Paper",,1254,F,1,21,"serial monograph","stated without evidence",English,,,,,"2009-04-16 23:16:45","2009-04-17 16:16:45"
"A. Hendy","A. Hendy",,23859,"T. A.",Darragh,,,,1985,"Molluscan biogeography and biostratigraphy of the Tertiary of southeastern Australia",Alcheringa,,9,,83,116,"journal article","stated without evidence",English,,,,,"2007-04-22 19:42:41","2007-04-23 12:42:41"
"A. Miller","A. Hendy","A. Hendy",18298,"T. A.",Darragh,,,,1989,"A revision of the Tertiary Volutidae (Mollusca: Gastropoda) of south-eastern Australia","Memoirs of the Museum of Victoria",,49,2,195,308,"journal article","stated with evidence",English,,,,,"2006-08-17 20:02:25","2006-08-18 13:02:46"
"A. Miller","A. Hendy","A. Hendy",18300,T.A,Darragh,,,,1991,"A revision of the Australian genus Tylospira Harris, 1897 (Gastropoda: Struthiolariidae)",Alcheringa,,15,,151,175,"journal article","stated with evidence",English,,,,,"2006-08-18 02:25:49","2006-08-18 20:00:30"
"A. Miller","K. Layou",,398,"T. A.",Darragh,,,,1997,"Gastropoda, Scaphopoda, Cephalopoda, and new Bivalvia of the Paleocene Pebble Point Formation, Victoria, Australia","Proceedings of the Royal Society of Victoria",,109,1,57,108,,"stated without evidence",,,,,,"2000-02-15 08:53:45","2000-02-16 03:53:45"
"A. Miller","A. Hendy",,18301,"T. A.",Darragh,,,,2002,"A revision of the Australian genus Umbilia (Gastropoda: Cypraeidae)","Memoirs of the Museum of Victoria",,59,2,355,392,"journal article","stated with evidence",English,,,,,"2006-08-18 05:15:01","2006-08-18 22:15:07"
"A. Miller","A. Hendy","A. Hendy",12938,"T. A.",Darragh,G.W.,Kendrick,,2000,"Proceedings of the Royal Society of Victoria",,,112,1,17,58,"journal article","stated without evidence",,,"Keywords: Mollusca, Late Eocene, southern Australia, taxonomy, new taxa",,,"2005-03-18 14:43:34","2005-03-19 09:43:34"
"L. Villier","L. Villier",,17372,E.,Dartevelle,,,,1937,"Bryozoaires du miocène de la Grande Canarie","Annales de la Société Royale Zoologique de Belgique",,67,,105-107,107,"journal article","stated without evidence",French,,,1%,22120,"2006-05-12 04:48:30","2006-05-12 21:48:35"
"M. Clapham","M. Clapham",,38502,C.,Darwin,,,,1844,,"Geological Observations on the Volcanic Islands Visited during the Voyage of HMS Beagle",,,,1,175,"book/book chapter","none discussed",English,,,,,"2011-11-13 07:15:57","2011-11-13 07:15:57"
"W. Kiessling","U. Merkel","U. Merkel",18643,"S. S.",Das,,,,2002,"Two new pleurotomariid (Gastropoda) species, including the largest Bathrotomaria, from the Berriasian (Early Cretaceous)of Kutch, western India","Cretaceous Research",,23,1,99,109,"journal article","stated without evidence",English,,,,,"2006-09-11 02:51:58","2006-09-11 19:52:43"
"M. Uhen","M. Uhen","M. Uhen",15202,F.,Dathe,,,,1983,"Megaptera hubachi n. sp., ein fossiler Bartenwal aus marinen Sandsteinschichten des tieferen Pliozaens Chiles","Zeitschrift fuer Geologische Wissenschaften",,11,7,813,848,"journal article","stated without evidence",English,,"Megaptera hubachi n. sp., fossil whale of the marine sandstone beds of the lower Pliocene of Chile",,,"2005-11-18 13:25:27","2007-02-22 08:50:10"
"A. Miller","A. Hendy","A. Hendy",11127,A,David,,,,1999,"Predation by naticid gastropods on late Oligocene (Egerian) molluscs collected from Wind Brickyard, Eger, Hungary","Malakologiai Tajekoztato",,17,,11,19,"journal article","stated without evidence",,,"Malacological Newsletter (Hungary)",,,"2004-07-15 23:33:20","2004-07-16 16:33:20"
"J. Alroy","J. Alroy",,30443,L.,David,S.,Pouyet,,1968,"Les bryozoaires cheilostomes du Chattien de la région de Kassel (Hesse, Allemagne)",Geobios,,1,,81,102,"journal article","not entered",French,,,,,"2009-08-01 20:10:45","2009-08-02 13:10:45"
"M. Clapham","M. Clapham","M. Clapham",42462,T.,Davidson,,,,1859,"Palaeontological notes on the Brachiopoda No. 2. On the families Strophomenidae and Productidae","The Geologist",,2,,97,117,"journal article","stated with evidence",English,,,,,"2012-07-27 02:42:35","2012-07-27 02:53:55"
"J. Sessa","J. Sessa","A. Hendy",39733,O.,Davies,,,,1973,"Pleistocene shorelines in the Western Cape and South-West Africa","Annals of the Natal Museum",,21,3,719,765,"journal article","stated without evidence",English,,,,,"2012-01-25 08:27:33","2012-01-25 15:30:30"
"A. Miller","A. Hendy","A. Hendy",9412,"A. M.",Davis,J.C.,Aitchison,"P.G. Flodd, B.S. Morton, R.G.V. Baker, R.J. Haworth",2000,"Late Holocene higher sea-level indicators from the South China coast","Marine Geology",,171,,1,5,"journal article","stated without evidence",English,,"Keywords: absolute age; Asia; Bivalvia; C-14; carbon; Cenozoic; China; dates; Far East; Gastropoda; Holocene; Hong Kong; Invertebrata; isotopes; Mollusca; North Pacific; Northwest Pacific; Pacific Ocean; Quaternary; radioactive isotopes; relict materials; Saccostrea cucullata; sea-level changes; shells; South China Sea; upper Holocene; West Pacific; Saccostrea",1%,660,"2003-10-26 12:59:18","2003-10-27 07:59:19"
"P. Wagner","P. Wagner",,15160,J.,Day,,,,1987,"Revision, distribution, and extinction of the Middle and early Late Devonian archaeogastropod genera Floyda and Turbonopsis","Journal of Paleontology",,61,5,960,973,"journal article","stated without evidence",English,,,,,"2005-11-16 07:58:30","2005-11-17 02:58:30"
"M. Foote","M. Foote","M. Foote",9581,J.,Day,,,,1988,"The brachiopod succession of the Late Givetian-Frasnian of Iowa","Devonian of the World, Volume III. Canadian Society of Petroleum Geologists. Calgary, Alberta, Canada","N. J. McMillan, A. F. Embry, and D. J. Glass",,,303,325,"book/book chapter","stated without evidence",,,,,,"2003-12-17 10:06:28","2003-12-18 05:06:29"
"M. Foote","M. Foote","M. Foote",9562,J.,Day,"D. J.",Over,,2002,"Post-extinction survivor fauna from the lowermost Famennian of eastern North America","Acta Palaeontologica Polonica",,47,2,189,202,"journal article","stated without evidence",,,,,,"2003-12-09 09:08:12","2003-12-10 04:08:12"
"W. Kiessling","U. Merkel",,39907,"J. G.","De Gruyter",,,,1944,"Koralen van het Nederlandsche Tertiair [Corals from the Tertiary of the Netherlands]","Leidsche Geologische Mededeelingen",,14,1,10,39,"journal article","stated without evidence",other,,,,,"2012-02-03 00:12:15","2012-02-03 00:12:15"
"A. Miller","K. Layou","J. Alroy",393,"T. L.","De Keyser",,,,1977,"Late Devonian (Frasnian) brachipod community patterns in western Canada and Iowa","Journal of Paleontology",,51,1,181,196,"journal article","stated without evidence",,,,,,"2000-02-11 08:46:36","2009-11-23 09:25:29"
"A. McGowan","A. McGowan",,15345,V.,"De Zanche",P.,Gianolla,"G. Roghi",2000,"Carnian stratigraphy in the Raibl/Cave del Predil area (Julian Alps, Italy)","Ecologae Geologicae Helvetiae",,93,,331,347,"journal article","stated without evidence",English,,,,,"2005-11-29 04:41:32","2005-11-29 23:41:32"
"A. Hendy","A. Hendy",,33079,"J. H.","DeLong, Jr",,,,1941,"The paleontology and stratigraphy of the Pleistocene at Signal hill, Long Beach, California","Transactions of the San Diego Society of Natural History",,9,,229,250,"journal article","stated without evidence",English,,,,,"2010-07-09 06:26:26","2010-07-09 23:26:26"
"A. Miller","A. Hendy","A. Hendy",11150,"T. J.",DeViries,,,,1998,"Oligocene deposition and Cenozoic sequence boundaries in the Pisco Basin (Peru)","Journal of South American Earth Sciences",,11,3,217,231,"journal article","stated without evidence",,,,,,"2004-07-18 20:48:53","2004-07-19 13:48:53"
"A. Hendy","A. Hendy",,33341,"T. J.",DeVries,,,,1988,"The geology of late Cenozoic marine terraces (tablazos) in northwestern Peru","Journal of South American Earth Sciences",,1,2,121,136,"journal article","stated without evidence",English,,,,,"2010-08-17 20:02:41","2010-08-18 13:02:41"
"A. Hendy","A. Hendy",,27085,"T. J.",DeVries,,,,1995,"Concholepas Lamarck, 1801 (Neogastropoda: Muricoidea): A Neogene genus native to South America","The Veliger",,38,4,284,297,"journal article","stated with evidence",English,,,,,"2008-04-22 16:18:02","2008-04-23 09:18:02"
"A. Hendy","A. Hendy",,25913,"T. J.",DeVries,,,,1997,"Neogene Ficus (Mesogastropoda: Ficidae) from the Pisco Basin (Peru)","Boletín de la Sociedad Geológica de Perú",,86,,11,18,"journal article","stated with evidence",English,,,,,"2007-11-27 06:07:25","2007-11-28 01:07:25"
"A. Hendy","A. Hendy",,27081,"T. J.",DeVries,,,,2000,"Two new Neogene species and the evolution of labral teeth in Concholepas Lamarck, 1801 (Neogastropoda: Muricoidea)","The Veliger",,43,1,43,50,"journal article","stated with evidence",English,,,,,"2008-04-22 14:05:38","2008-04-23 07:05:38"
"A. Hendy","A. Hendy",,25915,"T. J.",DeVries,,,,2001,"Molluscan evidence for an Oligocene-Miocene age of 'Paracas' beds in southern Peru","Boletín de la Sociedad Geológica del Perú",,92,,57,65,"journal article","stated without evidence",English,,,,,"2007-11-27 07:30:27","2007-11-28 02:30:27"
"A. Hendy","A. Hendy",,27066,"T. J.",DeVries,,,,2003,"Acanthina Fischer von Waldheim, 1807 (Gastropoda: Muricidae), an ocenebrine genus edemic to South America","The Veliger",,46,4,332,350,"journal article","stated with evidence",English,,,,,"2008-04-21 13:11:46","2008-04-22 06:11:46"
"A. Hendy","A. Hendy",,27041,"T. J.",DeVries,,,,2005,"Late Cenozoic Muricidae from Peru: Seven new species and a biogeographic summary","The Veliger",,47,4,277,293,"journal article","stated with evidence",English,,,,,"2008-04-17 08:10:08","2008-04-18 01:10:08"
"A. Hendy","A. Hendy",,27054,"T. J.",DeVries,,,,2005,"Pterorytis pacanana new species (Gastropoda: Muricidae): circumstantial evidence for late Pliocene El Niño events in southern Peru","The Nautilus",,119,4,164,168,"journal article","stated with evidence",English,,,,,"2008-04-18 13:16:01","2008-04-19 06:16:01"
"A. Hendy","A. Hendy",,27074,"T. J.",DeVries,,,,2005,"The Late Cenozoic history of Xanthochorus Fischer, 1884 (GastropodaL Muricidae) in western South America","The Veliger",,47,4,259,276,"journal article","stated with evidence",English,,,,,"2008-04-21 14:55:58","2008-04-22 07:55:58"
"A. Hendy","A. Hendy",,27076,"T. J.",DeVries,,,,2006,"The Neogene history of Prisogaster Mörch, 1850 (Gastropoda: Turbinidae) in South America","The Nautilus",,120,4,139,149,"journal article","stated with evidence",English,,,,,"2008-04-22 08:43:33","2008-04-23 01:43:33"
"A. Hendy","A. Hendy",,27082,"T. J.",DeVries,,,,2006,"Five new Cenozoic epitoniids from Southern Peru and the Neogene history of Scalina Conrad, 1865 (Gastropoda: Epitoniidae) in the Americas","The Veliger",,49,4,231,251,"journal article","stated with evidence",English,,,,,"2008-04-22 14:19:34","2008-04-23 07:19:34"
"A. Hendy","A. Hendy",,26865,"T. J.",DeVries,,,,2007,"Three new Pliocene species of Stramonita Schumacher, 1817 (Murcidae: Rapaninae) from Western South America and the evolution of modern Stramonita chocolata (Duclos, 1832)","The Veliger",,48,4,247,259,"journal article","stated with evidence",English,,,,,"2008-03-27 15:15:45","2008-03-28 09:15:45"
"A. Hendy","A. Hendy",,27057,"T. J.",DeVries,,,,2007,"Cenozoic Turritellidae (Gastropoda) from southern Peru","Journal of Paleontology",,81,2,331,351,"journal article","stated with evidence",English,,,,,"2008-04-20 18:21:48","2008-04-21 11:21:48"
"A. Hendy","A. Hendy",,27078,"T. J.",DeVries,,,,2007,"The Cenozoic Tegulinae (Gastropoda: Trochidae) from southern Peru","The Nautilus",,121,4,163,181,"journal article","stated with evidence",English,,,,,"2008-04-22 09:11:45","2008-04-23 02:11:45"
"A. Hendy","A. Hendy",,27083,"T. J.",DeVries,,,,2007,"The first Alora H. Adams, 1861 (Gastropoda: Epitoniidae) from western South America: Unique Miocene records","The Veliger",,49,4,252,255,"journal article","stated with evidence",English,,,,,"2008-04-22 15:28:02","2008-04-23 08:28:02"
"A. Hendy","A. Hendy",,29919,"T. J.",DeVries,,,,2007,"Cenozoic Nacella (Patellogastropoda: Nacellidae) from Peru and Chile: Filling in the gaps","The Veliger",,50,4,274,291,"journal article","stated with evidence",English,,,,,"2009-05-08 12:25:21","2009-05-09 05:25:21"
"A. Hendy","A. Hendy",,29918,"T. J.",DeVries,,,,2008,"Pliocene and Pleistocene Fissurella Bruguiére, 1789 (Gastropoda: Fissurellidae) from Southern Peru","The Veliger",,50,2,129,148,"journal article","stated with evidence",English,,,,,"2009-05-08 08:49:06","2009-05-09 01:49:06"
"A. Hendy","A. Hendy",,27101,"T. J.",DeVries,D.,Frassinetti,,2003,"Range extensions and biogeographic implications of Chilean Neogene mollusks found in Peru","Boletín del Museo Nacional de Historia Natural, Chile",,52,,119,135,"journal article","stated without evidence",English,,,,,"2008-04-26 18:38:53","2008-04-27 11:38:53"
"A. Hendy","A. Hendy",,27056,"T. J.",DeVries,"L. T.",Groves,"M. Urbina",2006,"A new early Miocene Muracypraea Woodring, 1957 (Gastropoda: Cypraeidae) from the Pisco Basin of southern Peru","The Nautilus",,120,3,101,105,"journal article","stated with evidence",English,,,,,"2008-04-20 12:05:21","2008-04-21 05:05:21"
"A. Hendy","A. Hendy",,27072,"T. J.",DeVries,B.,Hess,,2004,"Piscoacritia, gen. nov.: first account of Tribe Trochini (Gastropoda: Trochidae: Trochinae) from the Cenozoic of western South America","The Veliger",,47,1,6,12,"journal article","stated with evidence",English,,,,,"2008-04-21 14:30:46","2008-04-22 07:30:46"
"A. Hendy","A. Hendy","A. Hendy",25914,"T. J.",DeVries,H.,Schrader,,1997,"Middle Miocene marine sediments in the Pisco Basin (Peru)","Boletín de la Sociedad Geológica del Perú",,87,,1,13,"journal article","stated with evidence",English,,,,,"2007-11-27 07:20:03","2007-11-28 04:25:32"
"A. Hendy","A. Hendy",,27061,"T. J.",DeVries,"G. J.",Vermeij,,1997,"orgHerminespina: New Genus of Neogene Muricid Gastropod from Peru and Chile","Journal of Paleontology",,71,4,610,615,"journal article","stated with evidence",English,,,,,"2008-04-21 10:29:33","2008-04-22 03:29:33"
"A. Hendy","A. Hendy",,33340,"T. J.",DeVries,"L. E.",Wells,,1990,"Thermally-anomalous Holocene molluscan assemblages from coastal Peru: evidence for paleogeographic, not climatic change","Palaeogeography, Palaeoclimatology, Palaeoecology",,81,,11,32,"journal article","stated without evidence",English,,,,,"2010-08-17 15:39:37","2010-08-18 08:39:37"
"P. Wagner","K. Koverman","P. Wagner",11462,"W. T.",Dean,,,,1959,"The stratigraphy of the Caradoc series in the Cross Fell Inlier","Proceedings of the Yorkshire Geological Society",,32,2,185,228,"journal article","stated without evidence",,,,,,"2004-08-17 16:17:21","2004-08-25 04:38:17"
"P. Wagner","K. Koverman","K. Koverman",11346,"W. T.",Dean,,,,1961,"Trinucleid trilobites from the higher Dufton shales of the Caradoc series in the Cross Fell inlier  ","Proceedings of the Yorkshire Geological Society",,33,2,119,131,"journal article","stated without evidence",,,,1%,,"2004-08-03 11:25:27","2004-08-04 04:25:27"
"W. Kiessling","T. Schossleitner",,23488,"W. T.",Dean,,,,1982,"Middle Cambrian trilobites from the Sosnik Formation, Derik-Mardin district, south-eastern Turkey ","Bulletin of the British Museum (Natural History), Geology Series",,36,1,1,41,"journal article","stated without evidence",English,,,,,"2007-03-13 01:49:41","2007-03-13 19:49:41"
"S. Holland","S. Holland",,18630,W.T.,Dean,,,,1983,"Additional faunal data for the Bedinan Formation (Ordovician) of south-eastern Turkey","Special Papers in Palaeontology",,30,,89,105,"serial monograph","stated without evidence",English,,,1%,10480,"2006-09-10 09:45:39","2006-09-11 02:45:39"
"M. Patzkowsky","P. Borkow","P. Borkow",4045,"W. T.",Dean,,,,1989,"Trilobites from the Survey Peak, Outram and Skoki Formations (Upper Cambrian-Lower Ordovician) at Wilcox Pass, Jasper National Park, Alberta)","Geological Survey of Canada Bulletin",,,389,1,141,"serial monograph","stated without evidence",,,,,,"2001-07-05 11:14:41","2001-07-06 04:14:41"
"M. Clapham","M. Clapham",,46562,"J. F.",Dear,,,,1966,"An ammonoid from the Permian of Queensland","Memoirs of the Queensland Museum",,14,,199,203,"journal article","stated with evidence",English,,,,,"2013-04-28 10:48:51","2013-04-28 10:48:51"
"M. Clapham","M. Clapham",,39464,"J. F.",Dear,,,,1971,"Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin","Geological Survey of Queensland Publication",,347,,1,22,"serial monograph","stated with evidence",English,,,,,"2012-01-16 10:07:10","2012-01-16 10:07:10"
"W. Kiessling","M. Domansky",,39420,F.,Debrenne,R.,Wood,,1990,"A new Cambrian sphinctozoan sponge from North America, its relationship to archaeocyaths and the nature of early sphinctozoans","Geological Magazine",,127,4,435,443,"journal article","stated with evidence",English,,,,,"2012-01-13 02:28:33","2012-01-13 02:28:33"
"J. Alroy","C. Simpson","P. Wagner",11195,"M. D.",Debrock,"R. D.",Hoare,"R. H. Mapes",1984,"Pennsylvanian (Desmoinesian) polyplacophora (Mollusca) from Texas","Journal of Paleontology",,58,4,1117,1135,"journal article","stated with evidence",English,,,,,"2004-07-21 12:12:10","2006-01-01 07:09:12"
"L. Villier","L. Villier",,32257,M.,Deflandre-Rigaud,,,,1949,"Révision du manipule Synaptites sclérites d'holothuries fossiles","Bulletin de l'Institut Océanographique",,946,,1,11,"journal article","stated without evidence",French,,,,,"2010-03-09 07:38:07","2010-03-10 02:38:07"
"L. Villier","L. Villier",,31845,M.,Deflandre-Rigaud,,,,1959,"Sur quelques sclérites d'Holothuries de l'Oligocène moyen d'Innien, Holstein","Revue de Micropaléontologie",,1,4,190,200,"journal article","stated without evidence",French,,,,,"2010-01-29 05:01:56","2010-01-30 00:01:56"
"L. Villier","L. Villier",,31666,M.,Deflandre-Rigaud,,,,1962,"Contribution à la connaissance des sclérites d'holothurides fossiles","Mémoires du Muséum National d'Histoire Naturelle, Paris, Série C",,11,,1,123,"serial monograph","stated without evidence",French,,,,,"2010-01-22 07:29:43","2010-01-23 02:29:43"
"W. Kiessling","U. Merkel",,36845,S.,Defretin-Lefranc,,,,1960,"Contribution a l'etude des spongiaires siliceux du Crétacé supérieur du nord de la France","Theses presentees a la Faculte des Sciences de Lille",,,,1,178,"book/book chapter","stated without evidence",French,,,,,"2011-08-01 22:16:11","2011-08-01 22:16:11"
"M. Uhen","M. Uhen","M. Uhen",11944,R.,Dehm,T.,Oettingen-Spielberg,,1958,"Paläontologische und geologische Untersuchungen im Tertiär von Pakistan","Bayerische Akademie der Wissenschaften Mathewmatisch-Naturwissenschaftliche Klasse",,91,,1,54,"journal article","stated without evidence",German,,"in German  ",,,"2004-10-29 12:15:52","2004-10-30 05:15:52"
"P. Wagner","P. Wagner",,32149,"C. F.",Deiss,,,,1939,"Cambrian formations of southwestern Alberta and southeastern British Columbia","Geological Society America Bulletin",,50,6,951,1026,"journal article","stated without evidence",English,,,,,"2010-02-23 20:23:13","2010-02-24 15:23:13"
