genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Cystiphyllum,439.000,383.700,94,0,NaN
Cystiscus,0.012,0.000,2,2,0.0535
Cystispina,360.700,345.300,1,0,NaN
Cystistroma,460.900,455.800,5,0,NaN
Cystitrypa,235.000,221.500,1,0,NaN
Cystocerium,428.200,422.900,5,0,NaN
Cystocladia,314.600,306.950,1,1,0.0318
Cystodictya,360.700,272.500,19,2,0.1097
Cystograptus,443.700,436.000,1,0,NaN
Cystolonsdaleia,314.600,295.000,14,0,NaN
Cystomichelinia,290.100,259.000,42,0,NaN
Cystophrentis,364.700,360.700,2,0,NaN
Cystostroma,460.900,360.700,23,0,NaN
Cystothalamia,279.500,215.560,51,12,0.0406
Cystothalamiella,449.500,418.700,13,0,NaN
Cythara,15.970,11.608,2,0,NaN
Cytharella,0.126,0.012,1,0,NaN
Cythere,259.000,65.500,6,0,NaN
Cytherea,112.030,99.600,1,0,NaN
Cythereis,259.000,112.030,4,0,NaN
Cytherella,391.900,5.332,67,0,NaN
Cytherellina,428.200,242.000,20,0,NaN
Cytherelloidea,201.600,0.000,15,0,NaN
Cytheretta,7.246,5.332,1,0,NaN
Cytheridea,7.246,5.332,1,0,NaN
Cytheriopsis,37.200,33.900,1,0,NaN
Cytheromorpha,0.012,0.000,1,0,NaN
Cytheropteron,251.300,40.400,3,0,NaN
Cytherura,48.600,23.030,4,0,NaN
Cytocrinus,436.000,422.900,3,0,NaN
Cytoracia,150.800,145.500,1,0,NaN
Cyzicus,99.600,93.500,1,0,NaN
Dacromya,164.700,155.700,3,3,0.0301
Dacrydium,70.600,11.608,5,0,NaN
Dactylaraea,161.200,155.700,1,0,NaN
Dactylioceras,183.000,182.000,19,1,0.0588
Dactylocalyx,161.200,155.700,1,1,0.0097
Dactylocephalus,488.300,478.600,6,2,0.0407
Dactylocrinus,383.700,382.400,1,0,NaN
Dactylogonia,468.100,418.700,10,0,NaN
Dactyloteuthis,180.100,175.600,6,0,NaN
Dactylotreta,505.000,478.600,13,0,NaN
Dadocrinus,247.200,242.000,2,0,NaN
Daghanirhynchia,171.600,155.700,154,40,0.1219
Dagnachonetes,388.100,383.700,2,1,0.0082
Dagnoceras,251.300,247.200,6,1,0.0714
Dagysorhynchia,136.400,125.450,1,1,0.0909
Dagyspirifer,221.500,205.600,1,0,NaN
Daharella,265.000,259.000,6,6,0.1311
Daidia,452.000,445.600,8,0,NaN
Daira,13.650,2.588,15,4,0.0110
Daixites,303.400,298.900,2,0,NaN
Dakeoceras,488.300,468.100,14,6,0.4807
Dala,501.000,488.300,1,1,0.6842
Dalaia,295.000,290.100,2,0,NaN
Daldorfia,48.600,37.200,1,0,NaN
Dalejeproetus,416.000,388.100,14,0,NaN
Dalejina,439.000,388.100,119,14,0.0141
Dalligas,83.500,70.600,1,0,NaN
Dalmanella,471.800,252.300,508,378,0.2424
Dalmanites,443.700,388.100,71,4,0.0073
Dalmanitina,466.000,443.700,20,0,NaN
Dalmanophyllum,443.700,428.200,7,0,NaN
Dalmasiceras,145.500,140.200,3,2,0.5000
Dalmatites,252.300,247.200,4,0,NaN
Damesella,505.000,501.000,1,0,NaN
Damesites,93.500,83.500,4,1,0.1250
Damesops,501.000,501.000,1,0,NaN
Danilia,65.500,23.030,6,0,NaN
Danoceras,460.900,443.700,2,2,0.0772
Danubites,251.300,242.000,5,0,NaN
Daonella,247.200,205.600,80,11,0.0616
Daphnella,15.970,0.113,3,0,NaN
Daraelites,295.000,265.000,11,9,0.0376
Darbandia,272.500,268.000,1,1,0.5000
Dardanus,13.650,2.588,3,0,NaN
Dareithyris,247.200,242.000,2,0,NaN
Darendeella,83.500,65.500,2,0,NaN
Darkaoceras,388.100,383.700,1,1,0.2260
Daronia,37.200,33.900,1,0,NaN
Darvasia,279.500,272.500,1,0,NaN
Darwasophyllum,298.900,290.100,1,0,NaN
Darwinula,2.588,0.781,1,0,NaN
Dasmosmilia,70.600,0.082,10,0,NaN
Dasometopus,513.000,501.000,2,0,NaN
Dasyalosia,259.000,254.000,14,0,NaN
Dasyleptus,247.200,235.000,2,2,0.4082
Dasysaria,298.900,272.500,26,13,0.0570
Daubichites,272.500,265.000,2,0,NaN
Davidaster,0.126,0.012,1,0,NaN
Davidiceras,130.000,125.450,2,1,0.0345
Davidsonella,183.000,175.600,2,2,0.0190
Davidsonia,391.900,336.000,4,0,NaN
Davidsonina,339.400,336.000,4,1,1.0000
Daviesiella,345.300,268.000,7,0,NaN
Davoustia,388.100,383.700,1,0,NaN
Davoustica,412.300,409.100,1,0,NaN
Dawsonia,516.000,513.000,5,0,NaN
Dawsonoceras,452.000,388.100,32,3,0.0531
Daxatina,242.000,221.500,5,3,0.7937
Dayia,422.900,412.300,23,0,NaN
Deacheospira,463.500,455.800,20,0,NaN
Deadwoodia,501.000,488.300,8,0,NaN
Deanaspis,457.500,443.700,1,0,NaN
Debnikiella,383.700,376.100,1,0,NaN
Debrunia,130.000,125.450,4,0,NaN
Decadocrinus,388.100,342.800,7,3,0.0565
Decaschisma,436.000,422.900,8,0,NaN
Decatopecten,20.430,0.12,13,1,0.0015
Deceptioncyathus,520.000,516.000,2,0,NaN
Deceptrix,460.900,391.900,34,12,0.1516
Dechaseauxia,70.600,65.500,1,0,NaN
Dechenella,412.300,383.700,50,1,0.0015
Decipia,161.200,155.700,12,0,NaN
Deckera,501.000,488.300,17,1,0.0035
Deckeroceras,460.900,449.500,1,0,NaN
Deckersamphiura,70.600,61.700,2,0,NaN
Decorites,318.100,314.600,6,6,0.0437
Decorochilina,422.900,388.100,10,3,0.0696
Decoroproetus,457.500,412.300,51,8,0.0370
Decoropugnax,428.200,412.300,21,0,NaN
Decoroscutellum,421.300,409.100,15,0,NaN
Decorospira,409.100,388.100,5,4,0.0356
Decurtella,247.200,205.600,41,18,0.0662
Defordia,279.500,272.500,13,0,NaN
Defrancia,33.900,15.970,6,0,NaN
Defranciopora,145.500,140.200,1,0,NaN
Degeletticyathus,520.000,513.000,26,0,NaN
Dehornella,164.700,122.460,23,3,0.0128
Deikella,99.600,93.500,3,3,0.0041
Deiphon,443.700,418.700,19,3,0.0140
Deiracorallium,449.500,443.700,25,8,0.1895
Deiroceras,460.900,391.900,11,1,1.0000
Dekalymene,443.700,439.000,1,0,NaN
Dekayella,460.900,421.300,25,0,NaN
Dekayia,468.100,445.600,23,2,0.0646
Delamarella,513.000,505.000,8,8,0.1269
Delaria,279.500,268.000,43,8,0.8322
Delecticeras,167.700,164.700,1,0,NaN
Delepinea,360.700,342.800,41,22,0.0647
Delepinella,360.700,345.300,1,1,1.0000
Delgadella,520.000,513.000,9,0,NaN
Delheidia,55.800,48.600,1,0,NaN
Delicaster,345.000,336.000,1,1,1.0000
Delijania,212.000,205.600,1,0,NaN
Dellea,501.000,488.300,25,1,0.1368
Delocrinus,314.600,279.500,22,10,0.0944
Delops,428.200,422.900,1,0,NaN
Delpeya,99.600,93.500,1,1,0.0027
Delphinella,145.500,140.200,1,0,NaN
Delphinites,140.200,136.400,2,0,NaN
Delphinuella,388.100,383.700,3,0,NaN
Delphinula,23.030,2.588,4,0,NaN
Delphinulopsis,242.000,205.600,10,4,0.0121
Deltacare,488.300,478.600,1,0,NaN
Deltacrinus,428.200,422.900,1,0,NaN
Deltadechenella,391.900,388.100,3,0,NaN
Deltamya,70.600,65.500,4,0,NaN
Deltarhynchia,171.600,164.700,6,0,NaN
Delthyris,428.200,326.400,64,1,0.1538
Deltoceras,478.600,457.500,2,1,0.2000
Deltocyathus,83.500,11.608,4,0,NaN
Deltoideum,155.700,155.700,23,20,0.0143
Deltoidonautilus,61.700,37.200,10,1,0.0010
Deltopecten,360.700,265.000,12,2,0.0091
Demirastrites,439.000,436.000,1,0,NaN
Democrinus,65.500,37.200,4,0,NaN
Demonedys,272.500,268.000,11,11,0.0140
Denaecyathellus,520.000,516.000,1,0,NaN
Denaecyathus,520.000,513.000,5,0,NaN
Denaspis,516.000,513.000,1,0,NaN
Denayella,409.100,383.700,6,4,0.0249
Denckmannia,182.000,175.600,2,0,NaN
Denckmannites,443.700,418.700,17,0,NaN
Dendostrea,23.030,0.007145,19,1,0.0714
Dendracis,58.700,2.588,32,2,0.0307
Dendraraea,171.600,93.500,48,6,0.0502
Dendrastrea,167.700,161.200,2,0,NaN
Dendrocrinus,471.800,412.300,30,4,0.0165
Dendrocyathus,516.000,513.000,1,0,NaN
Dendrocystites,471.800,460.900,1,0,NaN
Dendrocystoides,455.800,445.600,1,0,NaN
Dendroecia,145.500,140.200,1,0,NaN
Dendrograptus,501.000,445.600,14,0,NaN
Dendrogyra,2.588,0.00015,21,2,0.0358
Dendrohelia,161.200,145.500,8,2,0.0318
Dendrophyllia,70.600,0.012,73,4,0.0206
Dendropoma,0.129,0.003625,12,1,0.0013
Dendropora,412.300,382.400,9,0,NaN
Dendropupa,318.100,314.600,2,2,0.0014
Dendrosmilia,161.200,70.600,4,0,NaN
Dendrostella,416.000,376.100,38,0,NaN
Dendrostrea,0.781,0.119,3,3,0.0163
Dendrostroma,391.900,376.100,15,1,0.0690
Denemarkia,412.300,409.100,4,0,NaN
Deningeria,265.000,205.600,20,2,0.0742
Densastroma,436.000,412.300,17,4,0.0368
Densocyathus,516.000,513.000,4,0,NaN
Densonella,501.000,488.300,3,0,NaN
Dentalium,422.900,0.012,136,30,0.0077
Dentaloscutellum,409.100,391.900,1,0,NaN
Dentanitella,388.100,383.700,1,0,NaN
Dentarene,0.126,0.012,1,0,NaN
Dentatocyathus,516.000,513.000,1,0,NaN
Dentatrypa,409.100,388.100,4,0,NaN
Dentilasma,449.500,422.900,6,0,NaN
Dentimargo,33.900,28.400,1,0,NaN
Dentineritaria,242.000,232.000,2,1,0.0025
Dentiterquemia,196.500,189.600,1,1,1.0000
Dentoceras,290.100,279.500,3,3,0.0144
Dentonia,99.600,93.500,6,0,NaN
Dentospiriferina,235.000,221.500,1,0,NaN
Depasophyllum,391.900,383.700,4,1,1.0000
Depressiscala,11.608,5.332,1,0,NaN
Derbyella,298.900,265.000,5,4,0.0227
Derbyia,345.000,252.300,745,165,0.0430
Derbyoides,303.400,295.000,6,0,NaN
Derivatolites,428.200,422.900,1,0,NaN
Dermatostroma,452.000,443.700,7,1,0.0400
Dermocoma,167.700,161.200,2,1,1.0000
Dermomurex,33.900,5.0,3,1,0.0048
Dermoseris,161.200,122.460,42,8,0.0171
Dermosmilia,175.600,61.700,83,18,0.0302
Dermosmiliopsis,85.800,65.500,6,0,NaN
Derolytoceras,189.600,183.000,4,4,0.0189
Desatrypa,391.900,388.100,2,0,NaN
Deshayesia,40.400,37.200,2,0,NaN
Deshayesites,125.450,122.460,25,0,NaN
Desmacriocrinus,422.900,353.800,2,0,NaN
Desmidocrinus,428.200,391.900,4,0,NaN
Desmidodictyon,443.700,439.000,2,0,NaN
Desmoceras,130.000,93.500,15,9,0.1222
Desmocladia,37.200,33.900,1,0,NaN
Desmograptus,501.000,388.100,5,0,NaN
Desmoinesia,318.100,306.950,81,5,0.1001
Desmophyllites,93.500,70.600,7,1,0.0069
Desmophyllum,70.600,0.01876,8,0,NaN
Desmorthis,478.600,457.500,20,0,NaN
Desmoscaphites,85.800,83.500,1,0,NaN
Desmostroma,436.000,418.700,9,0,NaN
Desquamatia,428.200,376.100,136,8,0.0212
Detoniceras,242.000,235.000,1,1,0.0018
Dettermania,252.300,251.300,2,0,NaN
Deussenia,70.600,65.500,8,8,0.0109
Devonalosia,388.100,382.400,2,0,NaN
Devonaria,409.100,383.700,2,0,NaN
Devonatrypa,388.100,383.700,1,0,NaN
Devonobactrites,409.100,391.900,2,1,0.1875
Devonoblastus,388.100,383.700,2,0,NaN
Devonocerithioides,388.100,383.700,7,1,0.0690
Devonochonetes,412.300,383.700,54,3,0.3390
Devonoconica,388.100,383.700,3,0,NaN
Devonogypa,388.100,383.700,1,0,NaN
Devonoproductus,388.100,376.100,32,0,NaN
Devonorhineoderma,409.100,383.700,25,0,NaN
Devonoscyphia,383.700,376.100,2,0,NaN
Devonospongia,412.300,409.100,1,0,NaN
Devonothyonites,391.900,376.100,12,0,NaN
Devonozyga,388.100,383.700,4,0,NaN
Dhondtichlamys,83.500,61.700,74,0,NaN
Dhosaites,164.700,155.700,8,8,0.0062
Dhrumaella,164.700,155.700,5,0,NaN
Dhrumaites,167.700,161.200,7,0,NaN
Diabolirhynchia,428.200,416.000,6,0,NaN
Diabolocrinus,460.900,449.500,9,0,NaN
Diacalymene,449.500,426.200,12,0,NaN
Diacanthaspis,478.600,418.700,26,6,0.0359
Diacoryphe,360.700,353.800,55,0,NaN
Diacria,11.608,0.012,3,0,NaN
Diadelochiton,388.100,376.100,2,0,NaN
Diadeloplax,296.400,254.000,5,1,0.1250
Diadema,0.125,0.125,3,0,NaN
Diademopsis,221.500,196.500,13,4,0.0607
Diadochoceras,125.450,109.000,3,0,NaN
Diagoceras,391.900,388.100,1,1,0.1667
Diagoniella,516.000,416.000,2,0,NaN
Diala,15.970,0.000,4,2,0.0610
Dialeptophyllum,388.100,383.700,1,0,NaN
Diallagites,391.900,388.100,1,0,NaN
Diamesopora,428.200,422.900,1,0,NaN
Diamphidiocystis,449.500,443.700,1,0,NaN
Dianafranksia,145.500,140.200,1,1,1.0000
Dianella,542.000,520.000,1,0,NaN
Dianulites,466.000,443.700,20,0,NaN
Diaperidium,145.500,140.200,1,1,0.0137
Diaperoecia,33.900,5.332,7,0,NaN
Diaphelasma,488.300,471.800,12,0,NaN
Diaphoroceras,478.600,468.100,1,1,0.0526
Diaphorocrinus,443.700,439.000,1,0,NaN
Diaphragmus,336.000,318.100,28,17,0.0701
Diaplectia,161.200,155.700,1,0,NaN
Diaseris,5.332,0.012,5,2,0.0096
Diastoma,40.400,0.781,12,1,0.0432
Diastomella,65.500,61.700,2,2,0.0007
Diastopora,171.600,28.400,14,7,0.0176
Diatarastus,145.500,140.200,1,1,0.0137
Diatrypesis,212.000,205.600,1,1,0.0466
Diaulax,112.030,109.000,1,0,NaN
Dibolbina,428.200,416.000,6,0,NaN
Dibunophylloides,314.600,306.950,4,0,NaN
Dibunophyllum,364.700,279.500,91,7,0.3079
Dibunostoma,40.400,33.900,2,0,NaN
Dicamara,388.100,383.700,2,0,NaN
Dicamaropsis,428.200,422.900,2,0,NaN
Dicanthopyge,501.000,488.300,7,0,NaN
Dicathais,7.246,0.012,2,0,NaN
Dicellograptus,466.000,445.600,8,0,NaN
Dicellomus,513.000,488.300,20,0,NaN
Dicellonema,252.300,251.300,7,2,0.0637
Diceras,161.200,145.500,29,0,NaN
Diceratocephalina,488.300,478.600,3,0,NaN
Dicerobairdia,235.000,221.500,1,0,NaN
Dicerocardium,221.500,205.600,21,0,NaN
Diceromyonia,471.800,428.200,32,3,0.4755
Dichocoenia,125.450,0.007145,85,43,0.0546
Dichocrinus,360.700,252.300,40,35,0.0078
Dichograptus,488.300,466.000,2,0,NaN
Dichopsammia,189.600,183.000,1,0,NaN
Dichospirifer,383.700,360.700,1,0,NaN
Dichostasia,290.100,259.000,12,8,0.0101
Dichostreblocrinus,313.800,305.900,1,0,NaN
Dichotomites,140.200,136.400,1,0,NaN
Dichotomoceras,161.200,155.700,12,0,NaN
Dichotomosphinctes,161.200,155.700,6,1,0.0238
Dichotrypa,345.000,336.000,2,0,NaN
Diclidaster,201.600,196.500,1,1,1.0000
Dicoelosia,449.500,409.100,93,17,0.0838
Dicoelostrophia,409.100,402.500,5,0,NaN
Diconomorpha,83.500,70.600,1,0,NaN
Diconularia,272.500,268.000,2,0,NaN
Dicosmos,251.300,205.600,22,18,0.0243
Dicostella,140.200,136.400,2,0,NaN
Dicranella,460.900,449.500,32,0,NaN
Dicranoclonella,155.700,150.800,2,0,NaN
Dicranogmus,443.700,421.300,3,0,NaN
Dicranograptus,466.000,455.800,3,0,NaN
Dicranopeltis,449.500,421.300,30,1,0.0810
Dicranopora,445.600,443.700,3,0,NaN
Dicranoptila,150.800,145.500,1,1,0.0106
Dicranurus,416.000,409.100,17,2,0.0719
Dicricoconus,428.200,376.100,19,0,NaN
Dicroloma,167.700,109.000,9,5,0.0379
Dicromyocrinus,318.100,306.950,5,0,NaN
Dictuophyllia,145.500,28.400,30,0,NaN
Dictyaraea,70.600,2.588,17,0,NaN
Dictyoastraea,33.900,28.400,1,0,NaN
Dictyobembix,388.100,383.700,1,0,NaN
Dictyobractites,235.000,221.500,1,0,NaN
Dictyoclostoidea,279.500,265.000,5,0,NaN
Dictyoclostus,360.700,254.000,156,10,0.0728
Dictyoconites,232.000,221.500,2,0,NaN
Dictyocoscinus,516.000,513.000,3,0,NaN
Dictyocyathus,530.000,513.000,148,0,NaN
Dictyofavosites,412.300,391.900,8,1,0.0230
Dictyofavus,520.000,516.000,8,0,NaN
Dictyonema,501.000,412.300,41,0,NaN
Dictyonina,513.000,498.500,7,1,0.0103
Dictyonites,460.900,449.500,1,0,NaN
Dictyonocoelia,161.200,145.500,17,8,0.0211
Dictyopleurus,55.800,48.600,1,0,NaN
Dictyoptychus,83.500,65.500,22,0,NaN
Dictyosycon,520.000,516.000,17,0,NaN
Dictyothyris,171.600,136.400,29,22,0.0145
Dictyothyropsis,161.200,140.200,5,1,0.0179
Dictyotomaria,391.900,232.000,12,2,0.0031
Dicyclocidaris,227.500,221.500,1,0,NaN
Didacna,0.781,0.126,2,0,NaN
Dideroceras,478.600,452.000,29,0,NaN
Didrepanon,422.900,421.300,1,0,NaN
Didymalgia,388.100,383.700,1,0,NaN
Didymelasma,457.500,455.800,5,1,0.0049
Didymoceras,478.600,70.600,27,0,NaN
Didymocyathus,516.000,513.000,1,0,NaN
Didymograptus,488.300,449.500,23,0,NaN
Didymosella,40.400,28.400,6,0,NaN
Didymothyris,422.900,421.300,11,0,NaN
Didymotis,125.450,85.800,22,15,1.0000
Diechoblattina,145.500,140.200,1,1,0.1000
Diecithalamia,242.000,221.500,9,0,NaN
Diedrorynchus,339.400,336.000,4,0,NaN
Dielasma,360.700,201.600,502,61,0.0275
Dielasmella,360.700,353.800,7,0,NaN
Dielasmina,265.000,254.000,13,3,0.0234
Dieneria,232.000,221.500,1,0,NaN
Dieneroceras,252.300,247.200,44,3,0.0442
Dienstina,443.700,428.200,1,0,NaN
Diestoceras,457.500,443.700,66,12,0.5013
Diffingia,298.900,272.500,29,29,0.0152
Digenuoceras,460.900,443.700,6,0,NaN
Digitaria,28.400,23.030,1,0,NaN
Digitolabrum,40.400,37.200,1,0,NaN
Digitophyllites,251.300,247.200,1,0,NaN
Digitosmilia,167.700,164.700,1,0,NaN
Dignomia,376.100,370.600,1,1,1.0000
Digonella,167.700,155.700,5,0,NaN
Digonophyllum,402.500,383.700,17,0,NaN
Dihogmochilina,436.000,428.200,8,0,NaN
Diholkorhynchia,247.200,242.000,6,2,0.0887
Dikelocephalus,501.000,488.300,4,0,NaN
Dikelokephalina,488.300,455.800,3,1,0.0149
Dilaminocladia,445.600,443.700,1,0,NaN
Dilataspis,516.000,513.000,1,0,NaN
Dilatilabrum,28.400,20.430,2,1,0.0400
Dillerites,232.000,221.500,1,0,NaN
Dilobella,478.600,457.500,4,0,NaN
Diloma,23.030,0.781,8,0,NaN
Dimarzipecten,23.030,15.970,1,0,NaN
Dimegelasma,360.700,342.800,11,0,NaN
Dimeroceras,370.600,364.700,1,0,NaN
Dimerocrinites,443.700,412.300,60,0,NaN
Dimeropterum,145.500,140.200,1,1,0.0137
Dimeropyge,471.800,457.500,26,5,0.2154
Dimeropygiella,488.300,468.100,30,4,0.2118
Dimitobelus,83.500,65.500,1,0,NaN
Dimitocamax,83.500,65.500,2,0,NaN
Dimorpharaea,171.600,70.600,91,20,0.0391
Dimorphastraeopsis,167.700,89.300,7,1,0.0143
Dimorphastrea,189.600,28.400,104,14,0.0316
Dimorphites,235.000,215.560,6,3,0.1288
Dimorphoceras,339.400,318.100,7,3,0.1255
Dimorphocoenia,161.200,93.500,21,5,0.0178
Dimorphocoeniopsis,145.500,130.000,1,0,NaN
Dimorphoconcha,251.300,247.200,2,2,0.2294
Dimorphofungia,155.700,150.800,1,0,NaN
Dimorphograptus,443.700,436.000,1,0,NaN
Dimorphomeandra,161.200,85.800,5,1,0.8750
Dimorphoseris,167.700,145.500,5,0,NaN
Dimorphotectus,171.600,167.700,2,0,NaN
Dimya,65.500,61.700,2,1,0.0045
Dimyodon,232.000,15.970,10,3,0.0926
Dinarispira,247.200,235.000,18,11,0.0498
Dinarites,252.300,247.200,9,4,0.2299
Dindymene,455.800,445.600,1,0,NaN
Dinesus,516.000,501.000,9,0,NaN
Dinobolus,460.900,426.200,17,2,0.0127
Dinocardium,40.400,0.012,8,0,NaN
Dinocycloceras,318.100,314.600,1,0,NaN
Dinoharpalus,205.600,201.600,1,0,NaN
Dinophyllum,439.000,426.200,28,2,0.1925
Dinorthis,468.100,418.700,136,13,0.0465
Dinostrophinx,336.000,326.400,2,0,NaN
Dinotocrinus,360.700,353.800,1,1,0.0204
Diochthofera,449.500,443.700,5,1,0.0198
Diodora,65.500,0.007711,66,21,0.0058
Dionide,466.000,452.000,9,0,NaN
Dionidella,478.600,466.000,1,0,NaN
Dionites,221.500,205.600,1,0,NaN
Diopatraites,388.100,383.700,1,0,NaN
Dioristella,242.000,221.500,11,3,0.0627
Diorthelasma,460.900,449.500,5,0,NaN
Diorychopora,443.700,416.000,1,0,NaN
Diozoptyxis,125.450,93.500,2,1,0.0714
Diparelasma,478.600,468.100,35,8,0.0409
Diparistomaria,130.000,122.460,4,0,NaN
Dipharus,516.000,513.000,1,0,NaN
Diphyphyllum,449.500,306.950,64,4,0.0696
Diplagnostus,505.000,501.000,12,3,0.0295
Diplanus,303.400,254.000,78,7,0.0043
Diplaraea,155.700,145.500,7,1,0.0238
Dipleura,460.900,383.700,20,0,NaN
Dipleurodonta,455.800,443.700,2,2,0.0084
Diplhelia,23.030,15.970,1,0,NaN
Diploastrea,125.450,0.003625,86,7,0.0387
Diploblastus,336.000,326.400,24,23,0.0077
Diplocava,145.500,140.200,1,0,NaN
Diplochaetetes,28.400,23.030,1,0,NaN
Diplochilus,251.300,247.200,1,1,0.0833
Diplochone,443.700,388.100,8,0,NaN
Diplocidaris,164.700,155.700,1,0,NaN
Diploclema,471.800,449.500,4,0,NaN
Diplocoenia,167.700,85.800,46,8,0.0215
Diploconula,279.500,268.000,8,7,0.0409
Diplocrinus,23.030,15.970,1,0,NaN
Diploctenium,93.500,61.700,30,2,0.0675
Diplocyathellus,516.000,513.000,4,0,NaN
Diplodetus,83.500,61.700,15,0,NaN
Diplodonta,125.450,0.121,41,6,0.0012
Diploepora,456.100,421.300,6,0,NaN
Diplograptus,466.000,436.000,11,0,NaN
Diplogyra,130.000,99.600,4,1,0.1000
Diplomoceras,70.600,65.500,35,28,0.0667
Diplophyllum,443.700,422.900,4,0,NaN
Diplopodia,171.600,89.300,10,2,0.0021
Diploporaria,339.400,254.000,7,0,NaN
Diplopsis,460.900,449.500,6,0,NaN
Diploria,83.500,0.004225,280,55,0.0602
Diplospirella,242.000,221.500,6,2,0.0441
Diplostroma,426.200,418.700,3,1,0.0163
Diplotrypa,466.000,443.700,18,0,NaN
Diplozone,421.300,409.100,6,3,0.0139
Dipoloceras,105.300,99.600,9,5,0.0163
Dipsacaster,130.000,125.450,1,1,0.3529
Diptyxis,130.000,112.030,2,0,NaN
Diraphora,513.000,488.300,2,0,NaN
Dircella,85.800,83.500,1,0,NaN
Dirocerithium,37.200,33.900,2,0,NaN
Disaster,161.200,155.700,5,0,NaN
Discamphiceras,201.600,196.500,2,0,NaN
Dischides,28.400,5.332,2,0,NaN
Discina,391.900,171.600,10,0,NaN
Discinisca,247.200,2.588,8,2,0.0031
Discispongia,161.200,155.700,1,0,NaN
Discitoceras,360.700,336.000,2,2,0.0070
Discoactinoceras,478.600,460.900,3,0,NaN
Discoceras,488.300,443.700,24,2,0.0297
Discocoenia,167.700,164.700,1,0,NaN
Discocyathus,171.600,61.700,5,0,NaN
Discocystis,336.000,326.400,2,1,0.0060
Discocytis,65.500,61.700,1,0,NaN
Discoflustrellaria,83.500,70.600,1,0,NaN
Discohelix,205.600,93.500,103,69,0.0499
Discoidella,318.100,235.000,6,0,NaN
Discoides,136.400,89.300,22,12,0.1713
Discoidocyathus,37.200,33.900,2,0,NaN
Discomiltha,164.700,150.800,15,14,0.0350
Discomyorthis,416.000,391.900,1,0,NaN
Discophiceras,252.300,251.300,5,2,0.1508
Discophyllites,235.000,215.560,8,1,1.0000
Discophyma,164.700,155.700,25,4,0.0239
Discoptychites,247.200,235.000,24,20,0.0793
Discordichilus,428.200,418.700,4,0,NaN
Discoscaphites,83.500,65.500,35,29,0.0137
Discosiphonella,314.600,205.600,67,1,0.4000
Discosorus,449.500,428.200,6,0,NaN
Discosparsa,161.200,40.400,2,0,NaN
Discosphinctes,161.200,155.700,1,0,NaN
Discostyrites,221.500,215.560,1,1,0.6522
Discotectonica,37.200,33.900,1,1,0.0016
Discotectus,150.800,70.600,3,1,0.0357
Discotoceras,259.000,254.000,1,0,NaN
Discotomaria,290.100,265.000,17,15,0.0076
Discotrochus,23.030,15.970,3,0,NaN
Discotropis,290.100,259.000,20,13,0.0122
Discotropites,232.000,205.600,40,3,0.5603
Discotrypa,460.900,443.700,1,1,0.0093
Discradisca,93.500,89.300,1,0,NaN
Disjectopora,272.500,136.400,30,0,NaN
Disparistromaria,155.700,122.460,5,1,0.0064
Disphenia,259.000,254.000,8,8,0.2102
Disphyllia,388.100,383.700,4,0,NaN
Disphyllum,443.700,370.600,182,16,0.0592
Dispiriferina,201.600,182.000,13,7,0.0573
Dissimilites,130.000,125.450,11,1,0.0345
Dissochilus,65.500,61.700,1,1,0.0001
Dissostoma,65.500,61.700,1,1,0.0000
Distefanella,93.500,65.500,19,0,NaN
Distichites,215.560,212.000,4,4,0.0738
Distichoceras,164.700,161.200,4,0,NaN
Distichoflabellum,221.500,205.600,1,0,NaN
Distichomeandra,235.000,201.600,33,7,0.1115
Distichomorpha,221.500,205.600,1,0,NaN
Distichophyllia,247.200,201.600,72,7,0.1154
Distichopora,19.000,15.900,1,1,0.0278
Distichopsis,221.500,205.600,2,0,NaN
Distoloceras,136.400,130.000,2,0,NaN
Distorsio,48.600,0.012,14,4,0.0188
Dithyrocaris,388.100,383.700,1,0,NaN
Ditomoptera,150.800,145.500,11,5,0.0145
Ditomopyge,345.300,268.000,27,3,0.2697
Ditremaria,150.800,145.500,1,0,NaN
Ditremaster,37.200,33.900,1,0,NaN
Ditrupa,65.500,0.012,4,0,NaN
Dittopora,445.600,443.700,1,0,NaN
Divalinga,70.600,0.121,13,4,0.0269
Divalucina,0.126,0.012,1,0,NaN
Divaricella,40.400,0.012,21,2,0.0273
Divaricosta,268.000,265.000,2,0,NaN
Divarikellia,65.500,61.700,1,1,0.0000
Diversiphyllum,303.400,298.900,1,0,NaN
Dixieceras,247.200,242.000,1,0,NaN
Dixieus,40.400,33.900,2,0,NaN
Dixiphopyge,360.700,353.800,2,0,NaN
Dizygocrinus,345.000,342.800,5,2,0.0592
Dizygopleura,426.200,412.300,53,0,NaN
Djemelia,265.000,259.000,11,11,0.0475
Djurjuriceras,150.800,145.500,2,0,NaN
Dmitria,376.100,370.600,9,1,0.0650
Dnestrites,418.700,416.000,3,0,NaN
Docidoceras,171.600,168.400,2,0,NaN
Docoderma,279.500,265.000,2,0,NaN
Docosaccus,89.300,85.800,1,0,NaN
Dodecaactinella,530.000,513.000,13,0,NaN
Doerflesia,150.800,145.500,2,0,NaN
Doggeria,167.700,164.700,1,1,0.3333
Dohmella,388.100,383.700,2,0,NaN
Dohmophyllum,412.300,383.700,24,0,NaN
Dokidocyathella,520.000,516.000,6,0,NaN
