genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Danilia,37.200,0.781,13,11,0.0044
Danubites,247.200,242.000,7,2,0.2500
Danzhaiaspis,516.000,505.000,1,0,NaN
Danzhaina,516.000,505.000,1,0,NaN
Daonella,391.900,235.000,56,3,0.9687
Daphnella,40.400,0.012,14,5,0.0013
Daphnobela,55.800,7.246,5,0,NaN
Daraelites,314.600,279.500,8,6,0.0432
Darcinia,37.200,33.900,1,0,NaN
Dardanus,55.800,2.588,4,2,0.0005
Darekia,318.100,314.600,1,1,0.0417
Darina,2.588,0.781,1,1,0.0003
Daronia,23.030,5.332,1,0,NaN
Dartonaspis,501.000,488.300,3,2,0.0611
Darwinula,167.700,5.332,3,0,NaN
Dasmia,37.200,33.900,1,0,NaN
Dasyleptus,311.450,242.000,3,3,0.6214
Dasysaria,314.600,290.100,2,2,0.0228
Daubichites,272.500,268.000,18,1,1.0000
Dauciconus,3.600,2.588,1,0,NaN
Davidsonina,345.300,306.950,2,1,1.0000
Dawsonia,513.000,505.000,4,1,0.0260
Dawsonoceras,436.000,426.200,15,0,NaN
Daxatina,409.100,232.000,16,3,0.3650
Dayia,422.900,416.000,28,0,NaN
Dayiceras,189.600,183.000,4,0,NaN
Daytonia,439.000,428.200,1,0,NaN
Dazhucrinus,436.000,426.200,1,0,NaN
Dceruska,466.000,428.200,6,0,NaN
Deacheospira,457.500,455.800,2,0,NaN
Deacybele,460.900,455.800,10,8,0.0893
Deadwoodia,501.000,488.300,1,0,NaN
Deanaspis,460.900,455.800,9,0,NaN
Deanokephalus,478.600,466.000,1,0,NaN
Decadocrinus,388.100,345.000,28,16,0.0520
Decaschisma,428.200,422.900,1,0,NaN
Decatopecten,19.000,0.012,4,1,0.0275
Deceptrix,476.800,409.100,42,8,0.1535
Dechenella,409.100,383.700,11,2,0.0026
Decipia,161.200,155.700,1,1,0.0077
Decipifus,2.588,0.781,1,1,0.0024
Decipilites,449.500,445.600,1,0,NaN
Deckeroceras,452.000,449.500,1,0,NaN
Deckersamphiura,83.500,70.600,1,1,1.0000
Declivolithus,457.500,449.500,2,0,NaN
Decordinaspis,460.900,449.500,1,0,NaN
Decorochilina,416.000,383.700,3,1,0.2597
Decoroproetus,455.800,418.700,22,2,0.0880
Decurtella,247.200,242.000,1,0,NaN
Dedzetina,449.500,422.900,14,1,0.0446
Defordia,279.500,272.500,2,0,NaN
Degamella,488.300,445.600,9,2,0.1240
Dehornella,150.800,136.400,2,2,0.0230
Deinovitimia,136.400,130.000,1,0,NaN
Deiphon,439.000,422.900,7,1,0.0030
Deiracephalus,501.000,488.300,4,0,NaN
Deiracorallium,449.500,443.700,9,0,NaN
Deiroceras,460.900,443.700,2,0,NaN
Dekayella,460.900,449.500,1,0,NaN
Dekayia,460.900,443.700,10,0,NaN
Delaria,279.500,272.500,1,0,NaN
Delectopecten,65.500,2.588,32,2,0.0148
Delepinea,345.300,326.400,3,0,NaN
Delitzschala,326.400,318.100,1,1,1.0000
Dellea,501.000,488.300,6,0,NaN
Delocrinus,318.100,279.500,28,10,0.0836
Deloia,326.400,318.100,1,0,NaN
Delops,428.200,422.900,2,0,NaN
Delopsocus,272.500,268.000,2,2,0.0160
Delopterum,279.500,268.000,5,5,0.0149
Delpeya,112.030,109.000,1,1,0.0657
Delphiceras,379.500,376.100,2,0,NaN
Delphinites,140.200,136.400,8,0,NaN
Delphinulopsis,247.200,242.000,4,4,0.0063
Deltacare,488.300,478.600,3,0,NaN
Deltacephalaspis,409.100,391.900,7,0,NaN
Deltachion,15.970,11.608,1,0,NaN
Deltacrinus,428.200,360.700,5,2,0.0101
Deltamya,70.600,65.500,1,1,0.0192
Delthyris,443.700,353.800,47,13,0.0632
Deltocyathus,65.500,0.012,14,8,0.0021
Deltoideum,161.200,150.800,16,13,0.0214
Deltoidonautilus,55.800,40.400,5,2,0.1715
Deltopecten,326.400,252.300,68,21,0.0169
Demarezites,272.500,254.000,5,0,NaN
Demirastrites,436.000,428.200,5,0,NaN
Democrinus,55.800,48.600,1,0,NaN
Demonedys,290.100,252.300,8,4,0.2189
Demoulia,3.600,0.012,6,0,NaN
Denayella,388.100,383.700,3,2,0.0229
Denckmannia,182.000,175.600,13,0,NaN
Denckmannites,460.900,428.200,2,0,NaN
Dendostrea,28.400,0.012,78,33,0.0099
Dendracis,37.200,5.332,4,1,0.0305
Dendraster,5.332,0.122,27,5,0.0402
Dendrastrea,164.700,161.200,1,1,0.1250
Dendrocrinus,452.000,412.300,34,0,NaN
Dendrocystites,457.500,455.800,4,0,NaN
Dendroecia,136.400,130.000,1,0,NaN
Dendrograptus,501.000,388.100,11,1,0.0009
Dendrophyllia,83.500,0.012,20,3,0.0966
Dendropoma,0.781,0.012,3,0,NaN
Dendropupa,318.100,314.600,1,1,0.3333
Dendrosmilia,122.460,99.600,1,0,NaN
Denebia,112.030,99.600,6,6,0.2872
Denemarkia,412.300,409.100,2,0,NaN
Denguiria,268.000,265.000,1,0,NaN
Dennantia,15.970,11.608,1,0,NaN
Densepustula,318.100,303.400,2,2,0.1443
Densonella,501.000,488.300,1,0,NaN
Dentalium,313.800,0.000,1056,453,0.0162
Dentarene,23.030,3.600,2,0,NaN
Dentiblastus,345.300,345.000,2,0,NaN
Denticelox,468.100,460.900,1,0,NaN
Dentilasma,428.200,422.900,1,0,NaN
Dentimargo,6.1,0.012,21,12,0.0040
Dentoceras,295.000,290.100,2,2,0.2462
Dentonia,99.600,37.200,18,0,NaN
Depressiscala,11.608,0.781,2,1,0.0004
Deraiocoris,183.000,182.000,1,1,0.0333
Derbyia,318.100,252.300,313,143,0.0592
Derbyina,409.100,383.700,51,0,NaN
Derbyoides,326.400,259.000,4,0,NaN
Derikaspis,513.000,501.000,10,10,0.4857
Dermomurex,33.900,0.781,22,8,0.0031
Dermosmilia,150.800,112.030,12,1,0.2182
Dermosmiliopsis,70.600,65.500,2,0,NaN
Derolytoceras,189.600,183.000,1,0,NaN
Deshayesites,125.450,99.600,13,2,0.2132
Desmepora,93.500,89.300,1,0,NaN
Desmoceras,112.030,83.500,152,24,0.0740
Desmograptus,501.000,388.100,7,1,0.0040
Desmoinesia,313.800,303.400,17,0,NaN
Desmophyllites,99.600,65.500,18,1,0.2963
Desmophyllum,15.970,11.608,1,0,NaN
Desmorthis,478.600,463.500,14,4,0.1941
Desmoscaphites,85.800,70.600,4,0,NaN
Desquamatia,412.300,376.100,28,8,0.0105
Destombesia,460.900,449.500,3,0,NaN
Deussenia,70.600,65.500,45,41,0.0053
Devonaria,391.900,388.100,7,0,NaN
Devonaster,409.100,383.700,2,1,0.2105
Devonobactrites,409.100,391.900,3,3,0.0976
Devonochonetes,391.900,382.400,333,108,0.1114
Devonogypa,412.300,409.100,3,0,NaN
Devonoproductus,383.700,376.100,20,13,0.0970
Devonothyonites,388.100,383.700,1,0,NaN
Devonozyga,421.300,418.700,2,0,NaN
Deweveria,251.300,247.200,4,0,NaN
Dhondtichlamys,83.500,33.900,15,8,0.0490
Dhosaites,161.200,155.700,10,8,0.0062
Diabolirhynchia,428.200,418.700,3,0,NaN
Diaboloceras,314.600,306.950,2,0,NaN
Diacalymene,449.500,426.200,12,2,0.0102
Diacanthaspis,460.900,455.800,9,0,NaN
Diacria,6.1,0.012,8,2,0.0041
Diadema,201.600,28.400,2,0,NaN
Diademoceras,388.100,383.700,1,0,NaN
Diademopsis,201.600,182.000,3,0,NaN
Diadochoceras,125.450,109.000,3,1,0.0952
Diagoniella,513.000,422.900,14,3,0.2818
Diagonodictya,314.600,306.950,1,0,NaN
Diala,23.030,0.012,26,10,0.0503
Dialothemis,183.000,182.000,1,1,0.0027
Diambonioidea,460.900,443.700,2,0,NaN
Diamenocrinus,409.100,402.500,3,0,NaN
Diamesopora,428.200,422.900,2,0,NaN
Diamphidiocystis,449.500,443.700,2,0,NaN
Diandongia,520.000,513.000,25,8,0.0229
Diania,520.000,516.000,1,0,NaN
Dianulites,460.900,455.800,1,0,NaN
Diaperoecia,33.900,28.400,1,0,NaN
Diaphana,55.800,0.012,3,0,NaN
Diaphelasma,478.600,466.000,3,1,0.0022
Diaphragmus,336.000,318.100,16,7,0.0442
Diarthema,150.800,145.500,1,1,0.0364
Diaseris,0.126,0.012,1,1,0.0233
Diastatopaeschnidium,145.500,140.200,1,1,0.0135
Diastoma,55.800,5.332,35,16,0.0099
Diastopora,201.600,2.588,10,0,NaN
Diatrypesis,140.200,136.400,1,1,0.0009
Dibolbina,436.000,426.200,11,0,NaN
Dibunophyllum,336.000,295.000,17,3,0.0912
Dicamara,391.900,388.100,1,0,NaN
Dicellograptus,463.500,445.600,106,6,0.0349
Dicellomus,513.000,488.300,19,0,NaN
Dicellonema,252.300,251.300,1,0,NaN
Diceras,105.300,99.600,1,1,0.0076
Diceratograptus,449.500,443.700,1,0,NaN
Diceromyonia,460.900,443.700,1,0,NaN
Dichacaenia,383.700,382.400,1,0,NaN
Dichelepyge,488.300,478.600,5,0,NaN
Dichentomum,279.500,272.500,1,1,0.0029
Dichocoenia,65.500,0.781,27,18,0.0440
Dichocrinus,360.700,265.000,16,7,0.0168
Dichograptus,468.900,463.500,10,0,NaN
Dichospirifer,376.100,360.700,2,0,NaN
Dichostreblocrinus,353.800,345.300,1,0,NaN
Dichotochlamys,15.970,11.608,2,0,NaN
Dichotomites,140.200,130.000,19,0,NaN
Dichotomoceras,161.200,155.700,2,1,1.0000
Dichotomosphinctes,161.200,155.700,1,0,NaN
Dichozygopleura,416.000,412.300,1,0,NaN
Dickinsartella,295.000,290.100,11,7,0.4913
Dicoelites,155.700,145.500,1,0,NaN
Dicoelosia,449.500,412.300,83,39,0.0270
Dicoelostrophia,412.300,402.500,28,15,0.0378
Diconularia,416.000,342.800,2,0,NaN
Dicosmos,259.000,254.000,2,0,NaN
Dicranella,460.900,449.500,13,0,NaN
Dicranocaris,513.000,501.000,4,0,NaN
Dicranodonta,155.700,140.200,10,1,0.4623
Dicranograptus,466.000,456.100,24,1,0.0137
Dicranopeltis,455.800,422.900,5,0,NaN
Dicranurus,436.000,383.700,4,0,NaN
Dicricoconus,416.000,376.100,8,0,NaN
Dicroloma,167.700,99.600,27,14,0.0279
Dicromyocrinus,314.600,306.950,1,0,NaN
Dictenocrinus,416.000,412.300,2,0,NaN
Dictuophyllia,145.500,55.800,7,0,NaN
Dictyaraea,15.970,5.332,6,0,NaN
Dictyobembix,364.700,360.700,2,0,NaN
Dictyocaris,436.000,416.000,5,0,NaN
Dictyoclostoidea,272.500,265.000,3,0,NaN
Dictyoclostus,353.800,259.000,48,13,0.0632
Dictyoconites,235.000,221.500,1,1,1.0000
Dictyonema,488.300,383.700,57,0,NaN
Dictyonina,516.000,488.300,5,0,NaN
Dictyorhabdus,460.900,449.500,1,0,NaN
Dictyospongia,345.300,311.450,3,0,NaN
Dictyostrophia,422.900,388.100,5,0,NaN
Dictyothurites,33.900,28.400,3,0,NaN
Dictyothyris,167.700,136.400,22,21,0.0145
Dictyotomaria,388.100,252.300,39,7,0.0627
Dicyclocidaris,235.000,201.600,1,0,NaN
Dicystoconcha,272.500,254.000,7,1,0.0417
Didacna,7.246,5.332,1,0,NaN
Dideroceras,478.600,460.900,5,2,0.7071
Didianema,3.600,0.000,8,2,0.0103
Didrepanon,422.900,418.700,1,0,NaN
Didymelasma,466.000,449.500,2,1,0.0057
Didymites,215.560,212.000,5,0,NaN
Didymoceras,89.300,65.500,42,3,0.0135
Didymograptellus,463.500,460.900,1,0,NaN
Didymograptus,488.300,449.500,145,8,0.0558
Didymosella,33.900,28.400,2,0,NaN
Didymothyris,422.900,418.700,2,0,NaN
Didymotis,93.500,85.800,4,0,NaN
Dieconeura,311.450,306.950,2,2,0.0176
Dielasma,391.900,201.600,115,55,0.0488
Dielasmella,360.700,353.800,3,0,NaN
Dielasmina,265.000,254.000,2,0,NaN
Diemanosaukia,494.000,488.300,2,0,NaN
Diencobolus,488.300,478.600,1,1,0.0258
Dieneroceras,251.300,247.200,10,0,NaN
Diestoceras,457.500,443.700,8,7,0.0395
Diestothyris,0.126,0.012,1,0,NaN
Diexodus,311.450,306.950,1,1,0.0182
Digitaria,20.430,1.806,24,2,0.0014
Digitophyllites,251.300,247.200,1,0,NaN
Dignomia,460.900,383.700,10,0,NaN
Digonella,161.200,155.700,1,0,NaN
Digonus,416.000,409.100,1,0,NaN
Diholkorhynchia,247.200,242.000,9,9,0.0527
Dikelocephalus,501.000,488.300,4,0,NaN
Dikelokephalina,488.300,478.600,6,0,NaN
Dilatispongia,460.900,455.800,1,0,NaN
Dilobella,466.000,428.200,2,0,NaN
Diloma,33.900,0.126,19,5,0.0060
Dimarzipecten,28.400,23.030,2,0,NaN
Dimegelasma,345.000,336.000,2,0,NaN
Dimeretes,183.000,182.000,1,1,0.0333
Dimerocrinites,443.700,412.300,11,0,NaN
Dimeropygiella,478.600,471.800,3,0,NaN
Dimitobelus,122.460,70.600,80,4,0.5075
Dimitocamax,85.800,70.600,22,5,0.9898
Dimorpharaea,167.700,93.500,4,0,NaN
Dimorphastraeopsis,112.030,99.600,1,0,NaN
Dimorphastrea,140.200,65.500,16,1,0.1111
Dimorphites,221.500,215.560,8,0,NaN
Dimorphoceras,345.300,314.600,16,0,NaN
Dimorphoceratoides,314.600,306.950,2,0,NaN
Dimorphocoenia,136.400,112.030,4,0,NaN
Dimorphocoeniopsis,145.500,130.000,1,0,NaN
Dimorphograptus,443.700,439.000,6,0,NaN
Dimorphoplites,109.000,105.300,1,1,0.8696
Dimorphotoceras,221.500,215.560,10,1,0.2500
Dimya,70.600,1.6,25,14,0.0046
Dimyodon,37.200,11.608,2,0,NaN
Dinarites,251.300,247.200,19,2,0.1443
Dindymene,466.000,445.600,7,3,0.0129
Dinesus,513.000,501.000,1,0,NaN
Dinobolus,478.600,428.200,7,0,NaN
Dinocardium,33.900,0.000,89,15,0.0032
Dinophyllum,436.000,428.200,1,0,NaN
Dinorthis,478.600,445.600,30,1,0.0500
Dinoscyta,279.500,272.500,1,1,0.0117
Diodora,99.600,0.000,169,63,0.0040
Dionide,466.000,443.700,26,5,0.1051
Dionidella,478.600,460.900,2,0,NaN
Dioratiopus,105.300,93.500,2,0,NaN
Diorthelasma,460.900,436.000,6,0,NaN
Dioxycaris,513.000,505.000,1,0,NaN
Diozoptyxis,122.460,83.500,3,0,NaN
Diparelasma,478.600,468.100,4,0,NaN
Diphuicrinus,318.100,311.450,1,0,NaN
Diphyphyllum,339.400,326.400,5,0,NaN
Diplagnostus,513.000,501.000,3,0,NaN
Diplasioceras,112.030,99.600,5,0,NaN
Dipleura,409.100,383.700,27,2,0.0727
Dipleurodonta,478.600,466.000,1,0,NaN
Diplhelia,23.030,12.700,2,0,NaN
Diploaspis,409.100,402.500,1,0,NaN
Diploastrea,112.030,2.588,12,4,0.0136
Diploblastus,336.000,326.400,1,1,0.0018
Diploceras,112.030,99.600,1,0,NaN
Diploclema,428.200,422.900,1,0,NaN
Diplocoenia,140.200,112.030,4,1,0.0145
Diplocoeniella,122.460,112.030,1,0,NaN
Diploconcha,83.500,70.600,5,0,NaN
Diplocyathellus,516.000,513.000,1,1,0.1667
Diplodetus,83.500,70.600,1,0,NaN
Diplodictyon,93.500,89.300,2,0,NaN
Diplodon,247.200,33.900,2,0,NaN
Diplodonta,83.500,0.00427,255,92,0.0072
Diplograptus,466.000,422.900,76,12,0.0920
Diplogyra,122.460,109.000,1,0,NaN
Diplomitra,28.400,23.030,1,0,NaN
Diplomoceras,89.300,70.600,62,9,0.0146
Diplopodia,155.700,150.800,1,0,NaN
Diploporaria,303.400,279.500,2,0,NaN
Diploria,11.608,0.781,27,23,0.0555
Diplorrhina,513.000,505.000,2,0,NaN
Diplotheca,513.000,501.000,2,0,NaN
Diplothyra,0.012,0.000,2,0,NaN
Diplotrypa,457.500,443.700,4,0,NaN
Dipoloceras,109.000,99.600,23,5,0.0077
Dipoloceroides,105.300,99.600,1,1,0.0161
Dircella,70.600,65.500,2,2,0.0045
Dirocerithium,40.400,37.200,2,0,NaN
Disaster,164.700,161.200,1,0,NaN
Discamphiceras,201.600,196.500,8,0,NaN
Dischides,11.608,5.332,1,0,NaN
Discina,457.500,145.500,9,0,NaN
Discinisca,409.100,2.588,33,7,0.0058
Discinocaris,443.700,428.200,1,0,NaN
Discinolepis,516.000,513.000,2,0,NaN
Discispongia,150.800,145.500,1,0,NaN
Discitoceras,360.700,318.100,3,2,0.0055
Discoceras,460.900,443.700,4,0,NaN
Discoclymenia,364.700,360.700,2,1,0.0310
Discocoenia,201.600,196.500,1,0,NaN
Discocoeniopsis,196.500,183.000,3,0,NaN
Discocyathus,112.030,109.000,1,0,NaN
Discocystis,336.000,326.400,1,1,0.0036
Discodermia,125.450,53.000,4,0,NaN
Discogymnites,247.200,242.000,5,2,0.0772
Discohelix,247.200,55.800,12,5,0.0083
Discohoplites,105.300,99.600,2,2,0.0140
Discoidella,130.000,93.500,7,1,0.0133
Discoides,520.000,89.300,41,29,0.0827
Discoloripes,150.800,140.200,5,4,0.5296
Discomalayites,221.500,215.560,2,0,NaN
Discomiltha,164.700,145.500,12,11,0.0138
Discomyorthis,412.300,402.500,7,0,NaN
Discophiceras,252.300,251.300,30,0,NaN
Discophyllites,235.000,215.560,6,0,NaN
Discoporella,23.030,0.012,59,42,0.0057
Discopsis,7.9,7.9,1,0,NaN
Discoptychites,247.200,242.000,4,0,NaN
Discordichilus,436.000,426.200,4,0,NaN
Discoscaphites,89.300,65.500,79,62,0.0152
Discosorus,443.700,428.200,2,0,NaN
Discosphinctoides,150.800,145.500,1,0,NaN
Discostyrites,221.500,215.560,4,0,NaN
Discotectonica,23.030,5.332,3,0,NaN
Discotectus,122.460,112.030,4,0,NaN
Discotomaria,265.000,259.000,1,0,NaN
Discotrochus,48.600,5.332,25,22,0.0105
Discotropites,232.000,221.500,18,5,0.5054
Discradisca,65.500,61.700,1,1,1.0000
Discus,0.012,0.000,2,0,NaN
Disoketa,105.300,99.600,2,2,0.0001
Disparilia,70.600,61.700,52,52,0.0382
Disphyllum,443.700,382.400,11,0,NaN
Disporella,5.332,0.012,3,0,NaN
Dissochilus,61.700,58.700,1,0,NaN
Distazeris,501.000,468.100,2,0,NaN
Distichites,215.560,212.000,11,0,NaN
Distichoceras,164.700,161.200,3,0,NaN
Distichomeandra,221.500,183.000,4,2,0.1925
Distichopora,0.126,0.012,1,1,0.0116
Distorsio,48.600,0.000,167,83,0.0113
Distyrax,443.700,428.200,1,0,NaN
Ditaxineurella,279.500,272.500,1,1,0.0526
Dithyrocaris,388.100,360.700,2,1,0.0156
Ditomopyge,318.100,259.000,24,4,0.9909
Ditremaster,37.200,33.900,1,1,0.0417
Ditreta,488.300,478.600,1,1,0.0032
Ditrupa,161.200,3.600,29,19,0.0278
Dittmarites,221.500,205.600,1,0,NaN
Dittopora,460.900,455.800,1,0,NaN
Divalinga,55.800,0.085,61,20,0.0077
Divalucina,11.608,5.332,9,0,NaN
Divaricella,61.700,0.000,37,6,0.0094
Divaricospongia,422.900,418.700,1,0,NaN
Diversograptus,436.000,422.900,5,0,NaN
Dizoniopsis,23.030,20.430,2,2,0.0002
Dizygocrinus,345.300,342.800,12,9,0.0268
Dizygopleura,443.700,418.700,9,0,NaN
Djemelia,265.000,259.000,9,9,0.0728
Dobbertinia,183.000,182.000,1,1,0.0027
Dobbertiniopteryx,183.000,182.000,1,1,0.0182
Dochmocardia,93.500,89.300,1,0,NaN
Dodecaceria,2.588,0.000,1,0,NaN
Doggerostra,167.700,164.700,2,0,NaN
Dohmophyllum,412.300,409.100,1,0,NaN
Dolabra,412.300,265.000,7,1,0.5000
Dolatocrinus,388.100,383.700,5,0,NaN
Dolerasaphus,488.300,478.600,2,0,NaN
Doleroides,460.900,449.500,6,0,NaN
Dolerorthis,460.900,412.300,132,65,0.0266
Dolichoderus,15.970,13.650,1,1,1.0000
Dolicholatirus,70.600,2.588,17,10,0.0036
Dolichometopus,513.000,501.000,1,0,NaN
Dolichopterus,418.700,409.100,4,0,NaN
Dolicrossea,19.000,15.900,1,0,NaN
Dolium,11.608,2.588,3,0,NaN
Dolocytheridea,136.400,125.450,6,0,NaN
Doloresella,478.600,466.000,2,0,NaN
Dolorthoceras,364.700,318.100,6,1,0.0101
Dolostoma,15.970,2.9,15,5,0.0023
Dolponella,254.000,252.300,9,8,0.0317
Domatoceras,313.800,254.000,8,2,0.5477
Dombarites,326.400,318.100,1,0,NaN
Domerginella,55.800,48.600,1,0,NaN
Domokhotia,295.000,290.100,4,0,NaN
Donacia,2.588,0.012,2,2,0.0438
Donacilla,5.332,0.012,3,1,0.0037
Donacosmilia,125.450,122.460,2,0,NaN
Donaldiella,478.600,445.600,4,3,0.0326
Donaldina,449.500,298.900,68,45,0.0527
Donaldospira,313.800,305.900,2,0,NaN
Donax,48.600,0.00427,162,29,0.0126
Donovaniconus,313.800,305.900,1,0,NaN
Doraclatum,388.100,342.800,3,0,NaN
Dorniella,247.200,242.000,7,7,0.0226
Dorsanum,40.400,5.332,18,5,0.0060
Dorsetensia,171.600,168.400,1,0,NaN
Dorsettia,196.500,189.600,1,1,0.0120
Dorsoplanites,150.800,145.500,4,0,NaN
Dorsoscyphus,326.400,318.100,4,1,0.1014
Dorsoserpula,164.700,99.600,7,7,0.0233
Doryagnostus,513.000,501.000,1,0,NaN
Dorycrinus,360.700,342.800,8,1,0.0286
Doryderma,93.500,89.300,1,0,NaN
Dorypyge,513.000,501.000,7,1,0.0476
Dorytreta,460.900,443.700,4,3,0.0093
Dosinia,65.500,0.00427,586,104,0.0196
Dosiniopsis,83.500,23.030,16,2,0.0057
Doublatia,290.100,272.500,3,0,NaN
Doulingoceras,259.000,254.000,2,0,NaN
Douvillaster,105.300,99.600,1,0,NaN
Douvilleia,61.700,58.700,1,0,NaN
Douvilleiceras,122.460,93.500,66,16,0.1322
Douvillina,416.000,376.100,227,39,0.0287
Douvillinaria,383.700,376.100,5,0,NaN
Douvillinella,409.100,391.900,2,0,NaN
Dowhatania,318.100,303.400,2,2,0.4677
Dowlingoceras,457.500,455.800,1,1,0.0625
Doxander,0.126,0.012,1,0,NaN
Dozyia,70.600,70.600,4,0,NaN
Drabia,501.000,488.300,2,1,0.0337
Draborthis,455.800,443.700,6,1,0.0039
Drabovia,460.900,443.700,26,3,0.0770
Drabovinella,478.600,455.800,9,0,NaN
Dragonympha,311.450,306.950,1,1,0.3333
Drahanorhynchus,388.100,383.700,1,0,NaN
Drahanostrophia,416.000,412.300,1,1,0.0089
Dreissena,83.500,5.332,12,2,0.0130
Drepanaster,391.900,388.100,1,0,NaN
Drepanella,452.000,443.700,2,0,NaN
Drepanellina,443.700,422.900,3,0,NaN
Drepanites,215.560,212.000,10,0,NaN
Drepanocheilus,122.460,15.970,104,50,0.0236
Drepanochilus,122.460,48.600,22,5,0.0104
Drepanopterus,443.700,402.500,3,0,NaN
Dreyfussina,460.900,443.700,4,0,NaN
Drilliola,33.900,23.030,3,1,0.0014
Drilluta,83.500,65.500,97,78,0.0062
Dromilites,55.800,33.900,3,0,NaN
Drumaspis,501.000,488.300,3,0,NaN
Drumoceras,242.000,235.000,4,1,0.1304
Drupa,0.126,0.012,5,0,NaN
Drupella,3.600,0.012,2,1,0.0094
Dryojuvavites,221.500,215.560,1,0,NaN
Dualina,436.000,412.300,19,1,0.0256
Duashnoceras,171.600,167.700,11,0,NaN
Dubariceras,196.500,183.000,124,0,NaN
Ductina,391.900,388.100,1,0,NaN
Dudleyaspis,436.000,418.700,2,0,NaN
Duerleyoceras,336.000,326.400,1,0,NaN
Dufrenoyia,125.450,112.030,12,0,NaN
Duftonia,449.500,445.600,5,0,NaN
Dulankarella,460.900,449.500,2,1,0.0227
Dulcineaia,460.900,457.500,2,0,NaN
Dulunomya,298.900,279.500,4,0,NaN
Dumortieria,180.100,175.600,95,0,NaN
Dunbarella,336.000,252.300,38,17,0.0372
Dunbaria,279.500,272.500,4,4,0.6148
Duncanosmilia,201.600,196.500,1,0,NaN
Dunderbergia,501.000,488.300,3,1,0.0063
Dunedinites,252.300,251.300,1,0,NaN
Dunkeria,2.588,0.012,2,2,0.0057
Dunveganoceras,99.600,93.500,28,1,1.0000
Duplicaria,33.900,0.000,15,1,0.0021
Duplophyllum,306.950,265.000,2,0,NaN
Durangites,150.800,145.500,1,0,NaN
Durania,99.600,65.500,9,0,NaN
Durhamina,295.000,290.100,2,0,NaN
Durinia,513.000,501.000,4,0,NaN
Durlophlebia,145.500,140.200,1,1,1.0000
Durnovaria,196.500,189.600,1,1,0.0120
Durvilleoceras,259.000,247.200,1,1,1.0000
Duslia,460.900,455.800,1,0,NaN
Duvalia,145.500,125.450,6,4,0.0346
Dyasmya,279.500,252.300,10,1,0.0556
Dybowskiella,259.000,254.000,9,0,NaN
Dyoros,295.000,254.000,21,7,0.5014
Dysarestus,201.600,196.500,1,0,NaN
Dyschrestia,318.100,268.000,6,3,0.6300
Dyscritella,345.300,205.600,53,2,0.2828
Dyscritellina,290.100,268.000,3,2,0.0747
Dyscritus,318.100,314.600,1,1,0.3333
Dysmorphoptila,205.600,201.600,1,1,0.0303
Dysmorphoscartella,254.000,252.300,2,2,0.2500
Dysnoetopora,70.600,65.500,1,0,NaN
Dysplanus,466.000,445.600,7,0,NaN
Dytremacephalus,501.000,488.300,1,0,NaN
Dzhebaglina,460.900,449.500,5,0,NaN
Dzhulfites,254.000,252.300,11,0,NaN
Dzhulfoceras,259.000,254.000,2,0,NaN
Dzikella,140.200,65.500,2,2,0.0067
Eatonia,412.300,391.900,3,0,NaN
Eatoniella,0.012,0.000,1,0,NaN
Ebala,164.700,3.600,18,14,0.0004
Ebalia,23.030,15.970,4,2,0.2887
Ebrayiceras,167.700,164.700,1,0,NaN
Eburna,23.030,3.5,17,7,0.0021
Eburneopecten,122.460,2.588,88,77,0.0150
Eburnopsis,15.970,11.608,1,0,NaN
Eccentricosta,418.700,416.000,1,0,NaN
Eccentrotheca,530.000,516.000,4,2,0.8165
Ecclimadictyon,428.200,426.200,6,0,NaN
Eccliseogyra,83.500,70.600,2,0,NaN
Eccoptochile,466.000,455.800,23,0,NaN
Ecculiomphalus,478.600,443.700,8,1,0.1250
Ecdyoperla,145.500,140.200,1,1,1.0000
Echinalosia,290.100,252.300,337,59,0.1217
Echinanthus,55.800,33.900,1,0,NaN
Echinarachnius,23.030,2.588,4,0,NaN
Echinaria,313.800,300.200,8,3,0.0262
Echinasterella,409.100,388.100,4,0,NaN
Echinauris,314.600,254.000,21,5,0.0510
Echinimathilda,99.600,70.600,4,1,0.0108
Echinobathra,122.460,112.030,1,0,NaN
Echinocardium,20.430,3.600,7,2,0.0673
Echinocaris,388.100,360.700,11,0,NaN
Echinocnemus,93.500,89.300,2,2,0.2236
Echinocoelia,388.100,364.700,12,8,0.2677
Echinoconchella,318.100,305.900,1,0,NaN
Echinoconchus,370.600,259.000,65,37,0.0525
Echinocorys,83.500,61.700,10,0,NaN
Echinocrinus,336.000,303.400,16,0,NaN
Echinocyamus,40.400,3.600,15,7,0.1121
Echinocystites,421.300,418.700,1,0,NaN
Echinocythereis,55.800,3.600,5,0,NaN
Echinodiscus,33.900,23.030,5,1,0.0177
Echinoencrinites,478.600,449.500,2,0,NaN
Echinogalerus,99.600,70.600,17,14,0.0911
Echinolampas,40.400,3.600,30,3,0.1695
Echinolittorina,0.126,0.012,1,1,0.0018
Echinometra,5.332,3.600,1,1,0.4545
Echinopedina,40.400,33.900,3,0,NaN
Echinophoria,33.900,2.588,77,40,0.0100
Echinophyllia,23.030,15.970,1,0,NaN
Echinopora,15.970,0.012,2,0,NaN
Echinopsis,48.600,5.332,2,0,NaN
Echinorbis,279.500,272.500,3,3,0.0292
